CID,MolecularFormula,IsomericSMILES,InChI,InChIKey,IUPACName,nm_unique
25087137,Fe2O4Zn,[O-2].[O-2].[O-2].[O-2].[Fe+3].[Fe+3].[Zn+2],InChI=1S/2Fe.4O.Zn/q2*+3;4*-2;+2,CPYIZQLXMGRKSW-UHFFFAOYSA-N,zinc;iron(3+);oxygen(2-),ZnFe2O4
25087149,Ga,[62Ga],InChI=1S/Ga/i1-8,GYHNNYVSQQEPJS-QQVBLGSISA-N,gallium-62,Ga
25087150,Fe,[58Fe],InChI=1S/Fe/i1+2,XEEYBQQBJWHFJM-NJFSPNSNSA-N,iron-58,Fe
25087153,Fe,[51Fe],InChI=1S/Fe/i1-5,XEEYBQQBJWHFJM-FTXFMUIASA-N,iron-51,Fe
25087154,Ce,[142Ce],InChI=1S/Ce/i1+2,GWXLDORMOJMVQZ-NJFSPNSNSA-N,cerium-142,Ce
25087162,Sn,[115Sn],InChI=1S/Sn/i1-4,ATJFFYVFTNAWJD-AHCXROLUSA-N,tin-115,Sn
25087164,Ce,[140Ce],InChI=1S/Ce/i1+0,GWXLDORMOJMVQZ-IGMARMGPSA-N,cerium-140,Ce
25087165,Ti,[47Ti],InChI=1S/Ti/i1-1,RTAQQCXQSZGOHL-BJUDXGSMSA-N,titanium-47,Ti
25087177,Nd,[143Nd],InChI=1S/Nd/i1-1,QEFYFXOXNSNQGX-BJUDXGSMSA-N,neodymium-143,Nd
25087182,Nd,[145Nd],InChI=1S/Nd/i1+1,QEFYFXOXNSNQGX-OUBTZVSYSA-N,neodymium-145,Nd
25087183,V,[52V],InChI=1S/V/i1+1,LEONUFNNVUYDNQ-OUBTZVSYSA-N,vanadium-52,V
25087187,Au,[196Au],InChI=1S/Au/i1-1,PCHJSUWPFVWCPO-BJUDXGSMSA-N,gold-196,Au
25153738,Ce,[146Ce],InChI=1S/Ce/i1+6,GWXLDORMOJMVQZ-LZFNBGRKSA-N,cerium-146,Ce
25195420,Ti,[51Ti],InChI=1S/Ti/i1+3,RTAQQCXQSZGOHL-AKLPVKDBSA-N,titanium-51,Ti
25195421,CdTe,[Cd].[Te],InChI=1S/Cd.Te,RPPBZEBXAAZZJH-UHFFFAOYSA-N,cadmium;tellurium,CdTe
42624151,Sn,[116Sn],InChI=1S/Sn/i1-3,ATJFFYVFTNAWJD-OIOBTWANSA-N,tin-116,Sn
42626439,Sn,[120Sn],InChI=1S/Sn/i1+1,ATJFFYVFTNAWJD-OUBTZVSYSA-N,tin-120,Sn
42626440,Y+3,[90Y+3],InChI=1S/Y/q+3/i1+1,GRTBAGCGDOYUBE-OUBTZVSYSA-N,yttrium-90(3+),Y
42626465,Au,[197Au],InChI=1S/Au/i1+0,PCHJSUWPFVWCPO-IGMARMGPSA-N,gold-197,Au
42626467,V,[51V],InChI=1S/V/i1+0,LEONUFNNVUYDNQ-IGMARMGPSA-N,vanadium-51,V
42628832,La,[139La],InChI=1S/La/i1+0,FZLIPJUXYLNCLC-IGMARMGPSA-N,lanthanum-139,La
42636441,Cu,[63Cu],InChI=1S/Cu/i1-1,RYGMFSIKBFXOCR-BJUDXGSMSA-N,copper-63,Cu
44140602,Y,[99Y],InChI=1S/Y/i1+10,VWQVUPCCIRVNHF-UOEDLBSCSA-N,yttrium-99,Y
44144625,O2Ti-,[O-][O].[Ti],InChI=1S/HO2.Ti/c1-2;/h1H;/p-1,ANOAOWNPTREFAS-UHFFFAOYSA-M,,TiO2
44144790,Zn,[67Zn],InChI=1S/Zn/i1+2,HCHKCACWOHOZIP-NJFSPNSNSA-N,zinc-67,Zn
44146792,CeO2,[O-2].[O-2].[144Ce+4],InChI=1S/Ce.2O/q+4;2*-2/i1+4;;,OFJATJUUUCAKMK-WUNIIZMUSA-N,cerium-144(4+);oxygen(2-),CeO2
44149370,Fe2O3,[O-2].[O-2].[O-2].[59Fe+3].[59Fe+3],InChI=1S/2Fe.3O/q2*+3;3*-2/i2*1+3;;;,LIKBJVNGSGBSGK-BICBLTJXSA-N,iron-59(3+);oxygen(2-),Fe2O3
44150586,Fe,[54Fe],InChI=1S/Fe/i1-2,XEEYBQQBJWHFJM-YPZZEJLDSA-N,iron-54,Fe
44151867,Cr,[52Cr],InChI=1S/Cr/i1+0,VYZAMTAEIAYCRO-IGMARMGPSA-N,chromium-52,Cr
44152085,Cu,[65Cu],InChI=1S/Cu/i1+1,RYGMFSIKBFXOCR-OUBTZVSYSA-N,copper-65,Cu
44152648,Ga,[71Ga],InChI=1S/Ga/i1+1,GYHNNYVSQQEPJS-OUBTZVSYSA-N,gallium-71,Ga
44152739,Ni,[60Ni],InChI=1S/Ni/i1+1,PXHVJJICTQNCMI-OUBTZVSYSA-N,nickel-60,Ni
44154720,Nd,[148Nd],InChI=1S/Nd/i1+4,QEFYFXOXNSNQGX-RNFDNDRNSA-N,neodymium-148,Nd
44154792,Ge,[72Ge],InChI=1S/Ge/i1-1,GNPVGFCGXDBREM-BJUDXGSMSA-N,germanium-72,Ge
44469407,La,[134La],InChI=1S/La/i1-5,FZLIPJUXYLNCLC-FTXFMUIASA-N,lanthanum-134,La
44602546,Gd,[152Gd],InChI=1S/Gd/i1-5,UIWYJDYFSGRHKR-FTXFMUIASA-N,gadolinium-152,Gd
46830028,Fe3O4+,[O-2].[O-2].[O-2].[O-2].[Fe+3].[Fe+3].[Fe+3],InChI=1S/3Fe.4O/q3*+3;4*-2,SDBUERHALQGYQV-UHFFFAOYSA-N,iron(3+);oxygen(2-),Fe3O4
46898734,CoFe2O4,[O-2].[O-2].[O-2].[O-2].[Fe+3].[Fe+3].[Co+2],InChI=1S/Co.2Fe.4O/q+2;2*+3;4*-2,MMOVVVBHLUGHGW-UHFFFAOYSA-N,cobalt(2+);iron(3+);oxygen(2-),CoFe2O4
46898737,Y+3,[86Y+3],InChI=1S/Y/q+3/i1-3,GRTBAGCGDOYUBE-OIOBTWANSA-N,yttrium-86(3+),Y
46907976,Sn+4,[117Sn+4],InChI=1S/Sn/q+4/i1-2,SYRHIZPPCHMRIT-YPZZEJLDSA-N,tin-117(4+),Sn
50912014,Pt+4,[195Pt+4],InChI=1S/Pt/q+4/i1+0,NDBYXKQCPYUOMI-IGMARMGPSA-N,platinum-195(4+),Pt
51352783,OTi+2,[O-2].[Ti+4],InChI=1S/O.Ti/q-2;+4,HCEIGVNAWPRQFB-UHFFFAOYSA-N,oxygen(2-);titanium(4+),TiO
51352785,Al2O4-2,[O-][Al]=O.[O-][Al]=O,InChI=1S/2Al.4O/q;;;;2*-1,RBHSDMJWWDJHTP-UHFFFAOYSA-N,oxido(oxo)alumane,Al2O4
53393468,Gd+3,[159Gd+3],InChI=1S/Gd/q+3/i1+2,RJOJUSXNYCILHH-NJFSPNSNSA-N,gadolinium-159(3+),Gd
54769705,Sn+4,[125Sn+4],InChI=1S/Sn/q+4/i1+6,SYRHIZPPCHMRIT-LZFNBGRKSA-N,tin-125(4+),Sn
56841929,CoFe2O4,[O-][Fe]=O.[O-][Fe]=O.[Co+2],InChI=1S/Co.2Fe.4O/q+2;;;;;2*-1,JAMSXWSAXCQXSE-UHFFFAOYSA-N,cobalt(2+);oxido(oxo)iron,CoFe2O4
56843737,O3Ti2+2,[O-2].[O-2].[O-2].[Ti+4].[Ti+4],InChI=1S/3O.2Ti/q3*-2;2*+4,QBNKFXYJSJOGEL-UHFFFAOYSA-N,oxygen(2-);titanium(4+),Ti2O3
57449925,BeO,[7Be]=O,InChI=1S/Be.O/i1-2;,LTPBRCUWZOMYOC-FXMLPJBTSA-N,oxo(7Be)beryllium-7,BeO
58280986,Sr,[84Sr],InChI=1S/Sr/i1-4,CIOAGBVUUVVLOB-AHCXROLUSA-N,strontium-84,Sr
58302941,Ag2O,O=[Ag].[Ag],InChI=1S/2Ag.O,KHJDQHIZCZTCAE-UHFFFAOYSA-N,oxosilver;silver,Ag2O
59423141,Bi2O3,O=[Bi].O=[Bi]=O,InChI=1S/2Bi.3O,WMWLMWRWZQELOS-UHFFFAOYSA-N,,Bi2O3
59475671,MnO+,[O+]#[Mn],InChI=1S/Mn.O/q;+1,LVPDYPVQUPXEGJ-UHFFFAOYSA-N,oxoniumylidynemanganese,MnO
59479314,O3Sb2,O=[Sb].O=[Sb]=O,InChI=1S/3O.2Sb,ADCOVFLJGNWWNZ-UHFFFAOYSA-N,,Sb2O3
60132476,Mn2O,O=[Mn].[Mn],InChI=1S/2Mn.O,HKOIEASMLFGBQY-UHFFFAOYSA-N,manganese;oxomanganese,Mn2O
60160913,MnO2-,[O-][Mn]=O,InChI=1S/Mn.2O/q;;-1,RHJXHJNJEYHQHO-UHFFFAOYSA-N,oxido(oxo)manganese,MnO2
66561989,Al2O3,O(O[Al])O[Al],InChI=1S/2Al.H2O3/c;;1-3-2/h;;1-2H/q2*+1;/p-2,KGXDSEDBTZXOHF-UHFFFAOYSA-L,,Al2O3
71308967,O2Pb-,[O-][Pb]=O,InChI=1S/2O.Pb/q;-1;,JRGXDBHXRGJEPV-UHFFFAOYSA-N,,PbO2
71309212,Fe+2,[55Fe+2],InChI=1S/Fe/q+2/i1-1,CWYNVVGOOAEACU-BJUDXGSMSA-N,iron-55(2+),Fe
71309411,Fe2O3,[17O]=[Fe][17O][Fe]=[17O],InChI=1S/2Fe.3O/i;;3*1+1,JEIPFZHSYJVQDO-AMUARUGPSA-N,oxidanylidene((17O)oxidanylideneferriooxy)iron,Fe2O3
71309460,Al2O3,[18O]=[Al][18O][Al]=[18O],InChI=1S/2Al.3O/i;;3*1+2,TWNQGVIAIRXVLR-GXHKVCSBSA-N,oxidanylidene((18O)oxidanylidenealumanyloxy)alumane,Al2O3
71470122,Zn,[70Zn],InChI=1S/Zn/i1+5,HCHKCACWOHOZIP-BKFZFHPZSA-N,zinc-70,Zn
71470123,OZn,O=[70Zn],InChI=1S/O.Zn/i;1+5,XLOMVQKBTHCTTD-REMDJTAUSA-N,oxo(70Zn)zinc-70,ZnO
71510780,OZn,[O-2].[67Zn+2],InChI=1S/O.Zn/q-2;+2/i;1+2,RNWHGQJWIACOKP-NLQOEHMXSA-N,oxygen(2-);zinc-67(2+),ZnO
71510781,CuO,[O-2].[65Cu+2],InChI=1S/Cu.O/q+2;-2/i1+1;,KKCXRELNMOYFLS-YTBWXGASSA-N,copper-65(2+);oxygen(2-),CuO
71510783,CuO,[O-2].[65Cu+2],InChI=1S/Cu.O/q+2;-2/i1+1;,KKCXRELNMOYFLS-YTBWXGASSA-N,copper-65(2+);oxygen(2-),CuO/ZnO
71586741,Cu+2,[64Cu+2],InChI=1S/Cu/q+2/i1+0,JPVYNHNXODAKFH-IGMARMGPSA-N,copper-64(2+),Cu
71587104,Co+2,[57Co+2],InChI=1S/Co/q+2/i1-2,XLJKHNWPARRRJB-YPZZEJLDSA-N,cobalt-57(2+),Co
71587231,Co+2,[58Co+2],InChI=1S/Co/q+2/i1-1,XLJKHNWPARRRJB-BJUDXGSMSA-N,cobalt-58(2+),Co
71587235,Nd,[142Nd],InChI=1S/Nd/i1-2,QEFYFXOXNSNQGX-YPZZEJLDSA-N,neodymium-142,Nd
72280065,Fe+2,[57Fe+2],InChI=1S/Fe/q+2/i1+1,CWYNVVGOOAEACU-OUBTZVSYSA-N,iron-57(2+),Fe
72302572,Sr+2,[87Sr+2],InChI=1S/Sr/q+2/i1-1,PWYYWQHXAPXYMF-BJUDXGSMSA-N,strontium-87(2+),Sr
73415796,O3Sm2,[O-2].[O-2].[O-2].[152Sm+3].[152Sm+3],InChI=1S/3O.2Sm/q3*-2;2*+3/i;;;2*1+2,FKTOIHSPIPYAPE-VGYFORNWSA-N,oxygen(2-);samarium-152(3+),Sm2O3
73431504,O3Sb2,O=[Sb].O=[Sb]=O,InChI=1S/3O.2Sb,ADCOVFLJGNWWNZ-UHFFFAOYSA-N,,Sb2O3
73456785,Mn2O,O=[Mn].[Mn],InChI=1S/2Mn.O,HKOIEASMLFGBQY-UHFFFAOYSA-N,manganese;oxomanganese,Mn2O
73557522,CrO2,[O-2].[O-2].[Cr+4],InChI=1S/Cr.2O/q+4;2*-2,IAQWMWUKBQPOIY-UHFFFAOYSA-N,chromium(4+);oxygen(2-),CrO2
73608878,Cu2O,O=[Cu].[Cu],InChI=1S/2Cu.O,BERDEBHAJNAUOM-UHFFFAOYSA-N,copper;oxocopper,Cu2O
73952216,Cr+3,[51Cr+3],InChI=1S/Cr/q+3/i1-1,BFGKITSFLPAWGI-BJUDXGSMSA-N,chromium-51(3+),Cr
76960673,Bi2O3,O1[Bi]2O[Bi]1O2,InChI=1S/2Bi.3O,WMWLMWRWZQELOS-UHFFFAOYSA-N,"2,4,5-trioxa-1,3-dibismabicyclo[1.1.1]pentane",Bi2O3
76964293,Ge+4,[Ge+4],InChI=1S/Ge/q+4,CULSIAXQVSZNSV-UHFFFAOYSA-N,germanium(4+),Ge
76968747,Fe+2,[59Fe+2],InChI=1S/Fe/q+2/i1+3,CWYNVVGOOAEACU-AKLPVKDBSA-N,iron-59(2+),Fe
76968890,Sr+2,[83Sr+2],InChI=1S/Sr/q+2/i1-5,PWYYWQHXAPXYMF-FTXFMUIASA-N,strontium-83(2+),Sr
86769164,Fe+3,[52Fe+3],InChI=1S/Fe/q+3/i1-4,VTLYFUHAOXGGBS-AHCXROLUSA-N,iron-52(3+),Fe
90478414,Fe+2,[58Fe+2],InChI=1S/Fe/q+2/i1+2,CWYNVVGOOAEACU-NJFSPNSNSA-N,iron-58(2+),Fe
91617939,Sr+2,[92Sr+2],InChI=1S/Sr/q+2/i1+4,PWYYWQHXAPXYMF-RNFDNDRNSA-N,strontium-92(2+),Sr
121233902,Fe3O4,[O-2].O=[Fe]O[Fe]=O.[Fe+2],InChI=1S/3Fe.4O/q;;+2;;;;-2,VGLCBHSSLQHGBS-UHFFFAOYSA-N,iron(2+);oxo(oxoferriooxy)iron;oxygen(2-),Fe3O4
124202810,GeO2,[O-2].[O-2].[Ge+4],InChI=1S/Ge.2O/q+4;2*-2,OLQSNYOQJMTVNH-UHFFFAOYSA-N,germanium(4+);oxygen(2-),GeO2
124202834,O5Sb2,[O-2].[O-2].[O-2].[O-2].[O-2].[Sb+5].[Sb+5],InChI=1S/5O.2Sb/q5*-2;2*+5,HFDPUERWEDZVAU-UHFFFAOYSA-N,antimony(5+);oxygen(2-),Sb2O5
124202835,Sn,[122Sn],InChI=1S/Sn/i1+3,ATJFFYVFTNAWJD-AKLPVKDBSA-N,tin-122,Sn
129627663,MoSi2,[Si]#[Si].[Mo],InChI=1S/Mo.Si2/c;1-2,JSCBLHMZTDIYQR-UHFFFAOYSA-N,,MoSi2
129627673,Li2O,[7Li+].[7Li+].[O-2],InChI=1S/2Li.O/q2*+1;-2/i2*1+0;,FUJCRWPEOMXPAD-ONPSQTMSSA-N,lithium-7(1+);oxygen(2-),Li2O
129659989,Li2O,[6Li+].[6Li+].[O-2],InChI=1S/2Li.O/q2*+1;-2/i2*1-1;,FUJCRWPEOMXPAD-NQTTVQCTSA-N,lithium-6(1+);oxygen(2-),Li2O
129679471,Fe3O4,[O-][Fe]=O.O=[Fe].O=[Fe+],InChI=1S/3Fe.4O/q;;+1;;;;-1,NSBULZMTPGUDNM-UHFFFAOYSA-N,oxido(oxo)iron;oxoiron;oxoiron(1+),Fe3O4
131708370,Fe2O3,[O-][Fe]=O.O=[Fe+],InChI=1S/2Fe.3O/q;+1;;;-1,NPORJETZYCYJKH-UHFFFAOYSA-N,oxido(oxo)iron;oxoiron(1+),Fe2O3
131708371,O3Ti2,[O-][Ti]=O.O=[Ti+],InChI=1S/3O.2Ti/q;;-1;;+1,PXIAGASXYGQEIQ-UHFFFAOYSA-N,oxido(oxo)titanium;oxotitanium(1+),Ti2O3
131708376,Fe2O4Zn,[O-][Fe]=O.O=[Fe+].O=[Zn],InChI=1S/2Fe.4O.Zn/q;+1;;;;-1;,VTZMLLLGEMNTJX-UHFFFAOYSA-N,oxido(oxo)iron;oxoiron(1+);oxozinc,ZnFe2O4
131708388,Ge,[70Ge],InChI=1S/Ge/i1-3,GNPVGFCGXDBREM-OIOBTWANSA-N,germanium-70,Ge
131708389,Ge,[76Ge],InChI=1S/Ge/i1+3,GNPVGFCGXDBREM-AKLPVKDBSA-N,germanium-76,Ge
131708394,Sn,[124Sn],InChI=1S/Sn/i1+5,ATJFFYVFTNAWJD-BKFZFHPZSA-N,tin-124,Sn
131708395,Ce,[136Ce],InChI=1S/Ce/i1-4,GWXLDORMOJMVQZ-AHCXROLUSA-N,cerium-136,Ce
131708396,Ce,[138Ce],InChI=1S/Ce/i1-2,GWXLDORMOJMVQZ-YPZZEJLDSA-N,cerium-138,Ce
131708399,Er,[162Er],InChI=1S/Er/i1-5,UYAHIZSMUZPPFV-FTXFMUIASA-N,erbium-162,Er
131708400,Er,[164Er],InChI=1S/Er/i1-3,UYAHIZSMUZPPFV-OIOBTWANSA-N,erbium-164,Er
131708402,Er,[167Er],InChI=1S/Er/i1+0,UYAHIZSMUZPPFV-IGMARMGPSA-N,erbium-167,Er
131708403,Nd,[144Nd],InChI=1S/Nd/i1+0,QEFYFXOXNSNQGX-IGMARMGPSA-N,neodymium-144,Nd
131708404,Nd,[150Nd],InChI=1S/Nd/i1+6,QEFYFXOXNSNQGX-LZFNBGRKSA-N,neodymium-150,Nd
131708405,Ti,[46Ti],InChI=1S/Ti/i1-2,RTAQQCXQSZGOHL-YPZZEJLDSA-N,titanium-46,Ti
131728961,Ti,[48Ti],InChI=1S/Ti/i1+0,RTAQQCXQSZGOHL-IGMARMGPSA-N,titanium-48,Ti
133701350,Ti,[49Ti],InChI=1S/Ti/i1+1,RTAQQCXQSZGOHL-OUBTZVSYSA-N,titanium-49,Ti
134991143,Ti,[50Ti],InChI=1S/Ti/i1+2,RTAQQCXQSZGOHL-NJFSPNSNSA-N,titanium-50,Ti
138395183,Fe2O3-2,[O-2].[O-2].[O-2].[Fe+2].[Fe+2],InChI=1S/2Fe.3O/q2*+2;3*-2,BZZSWBNIUDHODL-UHFFFAOYSA-N,iron(2+);oxygen(2-),Fe2O3
139035505,Co3O4,[O-][Co]=O.[O-][Co]=O.[Co+2],InChI=1S/3Co.4O/q;;+2;;;2*-1,GFOPQADAXUKKDX-UHFFFAOYSA-N,cobalt(2+);oxido(oxo)cobalt,Co3O4
139036513,Ga2O3,O1[Ga]2O[Ga]1O2,InChI=1S/2Ga.3O,QZQVBEXLDFYHSR-UHFFFAOYSA-N,"2,4,5-trioxa-1,3-digallabicyclo[1.1.1]pentane",Ga2O3
139036571,NbO+3,[O-2].[Nb+5],InChI=1S/Nb.O/q+5;-2,NCUONZBBRIYSCP-UHFFFAOYSA-N,niobium(5+);oxygen(2-),NbO
139046089,Pr,[141Pr],InChI=1S/Pr/i1+0,PUDIUYLPXJFUGB-IGMARMGPSA-N,praseodymium-141,Pr
139047025,Li2O,[Li+].[Li+].[O-2],InChI=1S/2Li.O/q2*+1;-2,FUJCRWPEOMXPAD-UHFFFAOYSA-N,dilithium;oxygen(2-),Li2O
140455849,BeO,[Be+2].[O-2],InChI=1S/Be.O/q+2;-2,QRPNDIYNTUICCP-UHFFFAOYSA-N,beryllium;oxygen(2-),BeO
154098674,BaO,[O-2].[Ba+2],InChI=1S/Ba.O/q+2;-2,CSSYLTMKCUORDA-UHFFFAOYSA-N,barium(2+);oxygen(2-),BaO
154731601,Cs2O,[O-2].[Cs+].[Cs+],InChI=1S/2Cs.O/q2*+1;-2,KOPBYBDAPCDYFK-UHFFFAOYSA-N,dicesium;oxygen(2-),Cs2O
154734330,MnO-,O=[Mn-],InChI=1S/Mn.O/q-1;,ZBJNFFMIUGUHIG-UHFFFAOYSA-N,oxomanganese(1-),MnO
154735178,Cu2O,O=[Cu].[Cu],InChI=1S/2Cu.O,BERDEBHAJNAUOM-UHFFFAOYSA-N,copper;oxocopper,Cu2O
154791260,Cu+2,[67Cu+2],InChI=1S/Cu/q+2/i1+3,JPVYNHNXODAKFH-AKLPVKDBSA-N,copper-67(2+),Cu
155885211,O2Ti-2,[O-2].[O-2].[Ti+2],InChI=1S/2O.Ti/q2*-2;+2,LEMYXEJBSHBMSA-UHFFFAOYSA-N,oxygen(2-);titanium(2+),TiO2
155926123,CuI,[65Cu+].[I-],InChI=1S/Cu.HI/h;1H/q+1;/p-1/i1+1;,LSXDOTMGLUJQCM-YTBWXGASSA-M,copper-65(1+);iodide,CuI
156022695,O5Ta2-10,[O-2].[O-2].[O-2].[O-2].[O-2].[Ta].[Ta],InChI=1S/5O.2Ta/q5*-2;;,CZMKGISFTMNCER-UHFFFAOYSA-N,oxygen(2-);tantalum,Ta2O5
156022700,Fe3O4,[O-][Fe]=O.[O-][Fe]=O.[Fe+2],InChI=1S/3Fe.4O/q;;+2;;;2*-1,YCCUJXVJQHNRFP-UHFFFAOYSA-N,iron(2+);oxido(oxo)iron,Fe3O4
156022701,Mn,[55Mn],InChI=1S/Mn/i1+0,PWHULOQIROXLJO-IGMARMGPSA-N,manganese-55,Mn
156022708,Al+3,[27Al+3],InChI=1S/Al/q+3/i1+0,REDXJYDRNCIFBQ-IGMARMGPSA-N,aluminum-27(3+),Al
157178562,Co+3,[59Co+3],InChI=1S/Co/q+3/i1+0,JAWGVVJVYSANRY-IGMARMGPSA-N,cobalt-59(3+),Co
157932215,Ni+2,[60Ni+2],InChI=1S/Ni/q+2/i1+1,VEQPNABPJHWNSG-OUBTZVSYSA-N,nickel-60(2+),Ni
158279314,Sr+2,[88Sr+2],InChI=1S/Sr/q+2/i1+0,PWYYWQHXAPXYMF-IGMARMGPSA-N,strontium-88(2+),Sr
158346680,Mn2O3,[O-][Mn](=O)[O-].[Mn+2],InChI=1S/2Mn.3O/q;+2;;2*-1,AOHPBDZCSOZZNB-UHFFFAOYSA-N,dioxido(oxo)manganese;manganese(2+),Mn2O3
158952597,Mn2O3-2,[O-2].[O-2].[O-2].[Mn+2].[Mn+2],InChI=1S/2Mn.3O/q2*+2;3*-2,DVUKRTULEBLPQQ-UHFFFAOYSA-N,manganese(2+);oxygen(2-),Mn2O3
159016255,Cu2O+,O=[Cu].[Cu+],InChI=1S/2Cu.O/q;+1;,GJZZYOSBDIAFON-UHFFFAOYSA-N,copper(1+);oxocopper,Cu2O
159147760,Mn2O3-4,[O-2].[O-2].[O-2].[Mn].[Mn+2],InChI=1S/2Mn.3O/q;+2;3*-2,RARSPOZYXFWLOM-UHFFFAOYSA-N,manganese;manganese(2+);oxygen(2-),Mn2O3
159352432,MnO3,[O-][O+]=O.[Mn],InChI=1S/Mn.O3/c;1-3-2,JLPTWMIOVHRHMQ-UHFFFAOYSA-N,manganese;ozone,MnO3
159561309,CrO2,O=O.[Cr],InChI=1S/Cr.O2/c;1-2,JTCYBTXGWDOCPU-UHFFFAOYSA-N,chromium;molecular oxygen,CrO2
159860540,O2Ti,[O-2].O=[Ti+2],InChI=1S/2O.Ti/q;-2;+2,KIXBGWLKUVHWJS-UHFFFAOYSA-N,oxotitanium(2+);oxygen(2-),TiO2
160142709,CrO3-2,[O-2].[O-2].[O-2].[Cr+4],InChI=1S/Cr.3O/q+4;3*-2,LHMNQXHCRXRSIN-UHFFFAOYSA-N,chromium(4+);oxygen(2-),CrO3
160410253,O2Si,O=O.[Si],InChI=1S/O2.Si/c1-2;,MGQQZGJIMOVHRZ-UHFFFAOYSA-N,,SiO2
160812231,MnO2,O=O.[Mn],InChI=1S/Mn.O2/c;1-2,NRBVSQNZIGXCQD-UHFFFAOYSA-N,manganese;molecular oxygen,MnO2
160816129,O2Ti,O=O.[Ti],InChI=1S/O2.Ti/c1-2;,OZMVUCJJAMSDGN-UHFFFAOYSA-N,molecular oxygen;titanium,TiO2
160863618,OZn,O=[64Zn],InChI=1S/O.Zn/i;1-1,XLOMVQKBTHCTTD-HCMAANCNSA-N,oxo(64Zn)zinc-64,ZnO
161355091,O2Zr,O=O.[Zr],InChI=1S/O2.Zr/c1-2;,SELFPULJJONQET-UHFFFAOYSA-N,molecular oxygen;zirconium,ZrO2
164181114,Al2O4-2,[O-2].[O-2].[O-2].[O-2].[Al+3].[Al+3],InChI=1S/2Al.4O/q2*+3;4*-2,SEXSNTVLVUSITB-UHFFFAOYSA-N,dialuminum;oxygen(2-),Al2O4
165366800,O5V2-6,[O-2].[O-2].[O-2].[O-2].[O-2].[V].[V+4],InChI=1S/5O.2V/q5*-2;;+4,HWPZIKHMEVJCKQ-UHFFFAOYSA-N,oxygen(2-);vanadium;vanadium(4+),V2O5
,Ag2O+,O=[Ag].[Ag+],InChI=1S/2Ag.O/q;+1;,VOKYXEWECPLKFA-UHFFFAOYSA-N,silver;oxosilver,Ag2O
,O2Sn,O=O.[Sn],InChI=1S/O2.Sn/c1-2;,QEWZZTZNIDHGMD-UHFFFAOYSA-N,,SnO2
,O2Pb,O=O.[Pb],InChI=1S/O2.Pb/c1-2;,RNIYAVBYYJZZRF-UHFFFAOYSA-N,,PbO2
